Tweet_count,Username,Text,Created At,Retweets,Likes
1,SinLínea.Mx,"La #Reforma va a sanear el #PoderJudicial, bueno, ¡el Poder Familiar de la Federación!

También el tribunal de disciplina judicial va a contribuir porque será también integrada por elección del pueblo. La Corte era juez y parte, entonces, el Tribunal de Justicia realmente no https://t.co/q4j3zGBweC",Fri Nov 15 15:33:10 +0000 2024,788,1546
2,Claudia Sheinbaum Pardo,La Reforma al Poder Judicial ha sido aprobada. Es bueno para nuestro país. Hablamos de un verdadero poder independiente y autónomo electo por el pueblo. Esto dice la Constitución Política de los Estados Unidos Mexicanos para las Reformas de la Constitución. https://t.co/0AkGv6jzpl,Thu Sep 12 19:18:57 +0000 2024,3996,11873
3,Ricardo Rubio,"En contraste a los autócratas que nos gobiernan, para nosotros la ley debe cumplirse y el poder judicial debe ser independiente. 

Propuse una inicitiva de ley para cumplimentar el mandato constitucional de crear el Tribunal Constitucional de la Ciudad de México, para que https://t.co/fvdJpLsnP8",Thu Dec 05 20:24:55 +0000 2024,0,1
4,El Universal,"▶️ “Que ningún presidente de México esté por encima de la ley”, señalan las y los trabajadores del Poder Judicial en uno de sus carteles. 

📹 #VIDEO: @Yalina_R | EL UNIVERSAL https://t.co/GCrMbZSjVG",Sun Oct 20 17:17:04 +0000 2024,1296,3420
5,MKZ,"El poder judicial: Juez y parte, ¿la ley o el atrevimiento?

El poder judicial en México ha alcanzado un punto insólito. La jueza Nancy Juárez Salas, con una audacia que desafía las normas establecidas, ha ordenado a la presidenta Claudia Sheinbaum que elimine del Diario Oficial https://t.co/JVDfMXqFbv",Tue Oct 22 15:34:39 +0000 2024,128,185
6,La Carpeta Púrpura,"Claudia no entendió...

Muchos no querían hablar de su fraude electoral con el que llegó a la Presidencia de forma ilegítima... pero al querer destruir el Poder Judicial, eso puso en alerta a TODO México y al mundo... y ahora además desacata la ley... ¡Va bien, se está dando un https://t.co/VqP3DJWP2s",Sat Oct 19 17:34:54 +0000 2024,2333,3714
7,Poder Judicial de la Ciudad de México,"✅Calendario en Turno de Juzgados Civiles y Familiares de proceso escrito para el cumplimiento de las disposiciones contenidas en la ley general y de la CDMX de acceso a las mujeres a una vida libre de violencia. 

Revísalo completo en: https://t.co/fqm4nRVYDM https://t.co/BlXtcVa65u",Fri Nov 29 21:17:09 +0000 2024,2,2
8,José Mario,"🚨 Nueva iniciativa judicial: ¿juzgar a jueces? 🚨 El Tribunal de Disciplina Judicial (TDJ), propuesto en la nueva Ley Orgánica del Poder Judicial Federal, podría sancionar a jueces y magistrados por el contenido de sus sentencias. Esto incluye revisar sus decisiones por https://t.co/1hzyeDFdfQ",Sun Nov 24 14:02:55 +0000 2024,395,642
9,Morena,"¡Al margen de la ley, nada; por encima de la ley, nadie!

Hoy se pone fin al intento de unos cuantos ministros por invalidar la reforma al Poder Judicial. 

Les guste o no, el próximo año el pueblo de México ejercerá su derecho a elegir a sus jueces, magistrados y ministros, https://t.co/vBQc5pj2v9",Tue Nov 05 23:57:09 +0000 2024,952,2342
10,Gobierno de México,"En cumplimiento de lo dispuesto por el artículo 96 Constitucional y 500, numerales 2 y 3 de la Ley General de Instituciones y Procedimiento Electorales, para la Elección Extraordinaria de las personas juzgadoras del Poder Judicial de la Federación 2025, la Consejería Jurídica del https://t.co/k2a1YyQNT1",Thu Oct 31 20:11:51 +0000 2024,166,284
